Date,Total Market,Mega Cap,Large Cap,Mid Cap,Small/Mid Cap,Small Cap,Micro Cap,Total Market Australian Hedged,Total Market AUD,Total Market Canadian Hedged,Total Market CAD
2001-07-31,-1.8106%,-0.9815%,-1.4742%,-3.7527%,,-3.6426%,-3.9076%,,,,
2001-08-31,-6.0615%,-6.8585%,-6.4599%,-4.5639%,,-3.8016%,-3.6213%,,,,
2001-09-28,-9.0055%,-7.3624%,-8.2315%,-12.2675%,,-13.4626%,-12.3235%,,,,
2001-10-31,2.6524%,1.7040%,2.0680%,3.8418%,,6.0667%,6.1883%,,,,
2001-11-30,7.7131%,7.5346%,7.6916%,8.4394%,,8.0410%,6.5418%,,,,
2001-12-31,1.8346%,0.5582%,1.0663%,3.4642%,,6.0596%,7.0765%,,,,
2002-01-31,-1.2548%,-1.4661%,-1.3029%,-0.5486%,,-1.2792%,0.8697%,,,,
2002-02-28,-2.0691%,-2.1248%,-2.0166%,-1.5218%,,-2.0261%,-4.4334%,,,,
2002-03-28,4.4076%,3.3696%,3.8675%,6.1129%,,7.1829%,8.3346%,,,,
2002-04-30,-4.9587%,-6.7242%,-5.8345%,-1.9518%,,-0.6768%,1.5241%,,,,
2002-05-31,-1.2096%,-0.7822%,-0.8503%,-1.1323%,,-3.1973%,-1.6382%,,,,
2002-06-28,-7.0023%,-7.2786%,-7.2717%,-7.2425%,,-6.2729%,-1.7570%,,,,
2002-07-31,-8.0333%,-6.6948%,-7.2475%,-9.5231%,,-11.6825%,-13.0808%,,,,
2002-08-30,0.6056%,0.6731%,0.6319%,0.4581%,,0.5815%,-0.2363%,,,,
2002-09-30,-10.0942%,-10.9647%,-10.6357%,-9.2291%,,-7.4250%,-6.5426%,,,,
2002-10-31,7.7192%,9.3906%,8.6434%,5.4893%,,3.3704%,1.8414%,,,,
2002-11-29,6.0392%,5.5508%,5.6580%,6.1290%,,8.0247%,8.0109%,,,,
2002-12-31,-5.5375%,-6.2036%,-5.8086%,-4.0721%,,-4.3541%,-2.9504%,,,,
2003-01-31,-2.5066%,-2.7017%,-2.5349%,-1.8119%,,-2.6285%,-0.6324%,,,,
2003-02-28,-1.6890%,-1.6127%,-1.5337%,-1.1953%,,-2.4827%,-2.3035%,,,,
2003-03-31,1.1681%,1.1413%,1.1311%,1.0906%,,1.3271%,1.5087%,,,,
2003-04-30,8.2536%,8.4128%,8.0703%,6.6062%,,9.2580%,8.5004%,,,,
2003-05-30,6.2078%,4.6524%,5.4033%,8.6465%,,10.0044%,11.2607%,,,,
2003-06-30,1.4565%,1.4542%,1.2494%,0.4021%,,1.9882%,5.5347%,,,,
2003-07-31,2.4302%,1.6353%,1.8552%,2.7916%,,4.7401%,8.0013%,,,,
2003-08-29,2.4162%,1.4772%,1.9441%,3.9080%,,4.7352%,3.9338%,,,,
2003-09-30,-1.1188%,-1.0810%,-1.1726%,-1.5446%,,-1.3776%,2.1584%,,,,
2003-10-31,6.0540%,5.2802%,5.6268%,7.0629%,,7.9998%,8.3177%,,,,
2003-11-28,1.4795%,0.6462%,1.0027%,2.4589%,,3.5717%,4.1752%,,,,
2003-12-31,4.4066%,5.2454%,4.8665%,3.3425%,,2.2899%,2.7588%,,,,
2004-01-30,2.3049%,1.8170%,1.9275%,2.3820%,,3.6426%,6.5306%,,,,
2004-02-27,1.4873%,1.2590%,1.4810%,2.3888%,,1.6343%,0.8063%,,,,
2004-03-31,-1.1031%,-1.9236%,-1.5005%,0.2092%,,0.8772%,-0.1327%,,,,
2004-04-30,-2.0529%,-1.0416%,-1.4836%,-3.2253%,,-4.6412%,-4.4681%,,,,
2004-05-28,1.3158%,0.9674%,1.2363%,2.3185%,,2.0957%,-0.7368%,,,,
2004-06-30,2.0044%,1.5139%,1.6973%,2.4572%,,3.6086%,2.4660%,,,,
2004-07-30,-3.8286%,-3.2684%,-3.3995%,-3.9247%,,-5.6677%,-6.6531%,,,,
2004-08-31,0.2820%,0.4396%,0.4133%,0.3068%,,-0.1816%,-1.3284%,,,,
2004-09-30,1.7411%,0.7043%,1.2462%,3.4559%,,4.0359%,4.6459%,,,,
2004-10-29,1.5864%,1.0876%,1.4406%,2.8540%,,2.4024%,1.4817%,,,,
2004-11-30,4.6950%,3.6106%,4.0590%,5.8109%,,7.4401%,9.0349%,,,,
2004-12-31,3.6141%,3.4043%,3.5265%,4.0144%,,3.8880%,4.8532%,,,,
2005-01-31,-2.6417%,-2.4879%,-2.4871%,-2.4785%,,-3.3023%,-3.6374%,,,,
2005-02-28,2.1287%,1.8697%,2.1398%,3.1999%,,2.3097%,0.6689%,,,,
2005-03-31,-1.7769%,-1.8559%,-1.6613%,-0.9077%,,-2.0135%,-4.2663%,,,,
2005-04-29,-2.3018%,-1.4781%,-1.8181%,-3.1644%,,-4.4815%,-5.4585%,,,,
2005-05-31,3.8491%,3.1267%,3.4442%,4.7263%,,6.0456%,4.6399%,,,,
2005-06-30,0.9166%,-0.2621%,0.3551%,2.8340%,,3.4897%,4.6247%,,,,
2005-07-29,4.2337%,3.5281%,3.8640%,5.1866%,,5.8815%,6.6470%,,,,
2005-08-31,-0.9638%,-0.8599%,-0.8572%,-0.8483%,,-1.4791%,-1.3801%,,,,
2005-09-30,0.7569%,0.6333%,0.7759%,1.3388%,,0.6274%,0.9218%,,,,
2005-10-31,-1.7660%,-1.0852%,-1.4865%,-3.0461%,,-3.0994%,-3.0275%,,,,
2005-11-30,3.9737%,3.5716%,3.8420%,4.9154%,,4.7812%,3.5557%,,,,
2005-12-30,0.0844%,-0.2987%,0.0288%,1.3356%,,0.3505%,0.3837%,,,,
2006-01-31,3.6311%,2.2209%,2.8393%,5.3182%,,7.2986%,8.4793%,,,,
2006-02-28,-0.0225%,0.1840%,0.0100%,-0.6703%,,-0.2628%,0.3655%,,,,
2006-03-31,1.9905%,1.2179%,1.5207%,2.7434%,,4.1653%,4.5992%,,,,
2006-04-28,1.0433%,1.2034%,1.1960%,1.1653%,,0.3834%,0.0719%,,,,
2006-05-31,-3.1086%,-2.5698%,-2.7560%,-3.5085%,,-4.6124%,-5.6202%,,,,
2006-06-30,0.1808%,0.2826%,0.2097%,-0.0594%,,0.1556%,-0.5392%,,,,
2006-07-31,-0.3136%,0.8472%,0.2980%,-2.0079%,,-3.2466%,-3.5633%,,,,
