Header CUSIP -8 Characters,Ticker,PERMCO,Monthly Calendar Date,Monthly Price,Monthly Market Capitalization,Monthly Total Return,Shares Outstanding
68389X10,ORCL,8045,2010-01-29,23.06,115558733.2,-0.058071701,5011220
68389X10,ORCL,8045,2010-02-26,24.65,123619750,0.068950564,5015000
68389X10,ORCL,8045,2010-03-31,25.71,129040829.6,0.043002028,5019091
68389X10,ORCL,8045,2010-04-30,25.8675,130101186.2,0.008046109,5029523
68389X10,ORCL,8045,2010-05-28,22.57,113436820,-0.127476563,5026000
68389X10,ORCL,8045,2010-06-30,21.46,107857960,-0.049180328,5026000
68389X10,ORCL,8045,2010-07-30,23.64,118814640,0.103940169,5026000
68389X10,ORCL,8045,2010-08-31,21.845,109771125,-0.075930626,5025000
68389X10,ORCL,8045,2010-09-30,26.85,134978010.9,0.229114214,5027114
68389X10,ORCL,8045,2010-10-29,29.38,147696609.3,0.096261068,5027114
68389X10,ORCL,8045,2010-11-30,27.045,136604295,-0.079475834,5051000
68389X10,ORCL,8045,2010-12-31,31.3,158140746,0.157330375,5052420
68389X10,ORCL,8045,2011-01-31,32.03,161829012.6,0.024960262,5052420
68389X10,ORCL,8045,2011-02-28,32.9,166506900,0.027162036,5061000
68389X10,ORCL,8045,2011-03-31,33.4325,169185701.2,0.01618541,5060516
68389X10,ORCL,8045,2011-04-29,35.96,181976155.4,0.077510287,5060516
68389X10,ORCL,8045,2011-05-31,34.22,173426960,-0.048387097,5068000
68389X10,ORCL,8045,2011-06-30,32.91,166706098.7,-0.038281707,5065515
68389X10,ORCL,8045,2011-07-29,30.58,154903448.7,-0.06911683,5065515
68389X10,ORCL,8045,2011-08-31,28.07,141781570,-0.082079791,5051000
68389X10,ORCL,8045,2011-09-30,28.74,144981861.5,0.023868899,5044602
68389X10,ORCL,8045,2011-10-31,32.77,165311607.5,0.142509993,5044602
68389X10,ORCL,8045,2011-11-30,31.35,157753200,-0.043332316,5032000
68389X10,ORCL,8045,2011-12-30,25.65,128912719.1,-0.181818182,5025837
68389X10,ORCL,8045,2012-01-31,28.21,141778861.8,0.102246367,5025837
68389X10,ORCL,8045,2012-02-29,29.255,145660645,0.037043602,4979000
68389X10,ORCL,8045,2012-03-30,29.16,145074091,-0.003247308,4975106
68389X10,ORCL,8045,2012-04-30,29.4,146268116.4,0.010315728,4975106
68389X10,ORCL,8045,2012-05-31,26.47,129835350,-0.099659864,4905000
68389X10,ORCL,8045,2012-06-29,29.7,145010428.2,0.122024934,4882506
68389X10,ORCL,8045,2012-07-31,30.2,147451681.2,0.018922259,4882506
68389X10,ORCL,8045,2012-08-31,31.65,152901150,0.048013245,4831000
68389X10,ORCL,8045,2012-09-28,31.46,151607501.8,-0.00600316,4819056
68389X10,ORCL,8045,2012-10-31,31.08,149776260.5,-0.010140463,4819056
68389X10,ORCL,8045,2012-11-30,32.175,152766900,0.03523166,4748000
68389X10,ORCL,8045,2012-12-31,33.32,157746776,0.041422753,4734297
68389X10,ORCL,8045,2012-12-31,33.32,157746776,0.041422753,4734297
68389X10,ORCL,8045,2012-12-31,33.32,157746776,0.041422753,4734297
